geography,district,role
Richvale,1,Representative
San Rafael,2,Representative
Walnut Grove,3,Representative
Elk Grove,4,Representative
St. Helena,5,Representative
Sacramento,6,Representative
Elk Grove,7,Representative
Yucca Valley,8,Representative
Stockton,9,Representative
Turlock,10,Representative
Concord,11,Representative
San Francisco,12,Representative
Oakland,13,Representative
Hillsborough,14,Representative
Dublin,15,Representative
Fresno,16,Representative
Fremont,17,Representative
Menlo Park,18,Representative
San Jose,19,Representative
Carmel,20,Representative
Hanford,21,Representative
Tulare,22,Representative
Bakersfield,23,Representative
Santa Barbara,24,Representative
Palmdale,25,Representative
Westlake Village,26,Representative
Monterey Park,27,Representative
Burbank,28,Representative
Los Angeles,29,Representative
Sherman Oaks,30,Representative
Redlands,31,Representative
Norwalk,32,Representative
Torrance,33,Representative
,34,NULL
Pomona,35,Representative
Palm Desert,36,Representative
Los Angeles,37,Representative
Whittier,38,Representative
Fullerton,39,Representative
Downey,40,Representative
Riverside,41,Representative
Corona,42,Representative
Los Angeles,43,Representative
San Pedro,44,Representative
Irvine,45,Representative
Santa Ana,46,Representative
Long Beach,47,Representative
Costa Mesa,48,Representative
Vista,49,Representative
Alpine,50,Representative
San Diego,51,Representative
San Diego,52,Representative
San Diego,53,Representative
Calif,,Senator
Calif,,Senator