year,n,category
9/1/15,96.9,2014-15
8/1/15,102.2,2014-15
7/1/15,98.1,2014-15
6/1/15,98.1,2014-15
5/1/15,87.5,2014-15
4/1/15,91,2014-15
3/1/15,82.8,2014-15
2/1/15,75.5,2014-15
1/1/15,71,2014-15
12/1/14,65.6,2014-15
11/1/14,86.3,2014-15
10/1/14,106,2014-15
9/1/15,106.4,2015-16
8/1/15,113.7,2015-16
7/1/15,113.5,2015-16
6/1/15,105,2015-16
5/1/15,86.9,2015-16
4/1/15,77,2015-16
3/1/15,66,2015-16
2/1/15,67.2,2015-16
1/1/15,61.1,2015-16
12/1/14,67.2,2015-16
11/1/14,75.6,2015-16
10/1/14,87.2,2015-16
8/1/15,117.3,2016-17
7/1/15,119.8,2016-17
6/1/15,110.1,2016-17
5/1/15,96.3,2016-17
4/1/15,81,2016-17
3/1/15,67,2016-17
2/1/15,57.5,2016-17
1/1/15,58.1,2016-17
12/1/14,64.9,2016-17
11/1/14,76.6,2016-17
10/1/14,89.5,2016-17