topic,text,url
action,"As the great jurist, Oliver Wendell Holmes, once said when describing what stirs people to action:",
action,"You were alarmed, you stirred yourselves to action and victory was the outcome.",
action,"Montaigne, the great French writer of the 16th Century, in his Essay on Experience, wisely wrote: “There is little relation between our actions, which are in perpetual mutation, and fixed and immutable laws. The most desirable laws are those that are the rarest, simplest, and most general; and I even think that it would be better to have none at all than to have them in such numbers as we have.”",
affordable,California was the first in the nation to pass laws to implement President Obama’s historic Affordable Care Act.,http://www.scpr.org/news/2012/06/28/33020/us-supreme-court-ruling-moves-california-forward-p/
affordable,The ultimate costs of expanding our health care system under the Affordable Care Act are unknown.,http://www.scpr.org/news/2013/01/10/35587/governor-brown-commits-full-medical-expansion-unde/
affordable,Today I am calling for a special session to deal with those issues that must be decided quickly if California is to get the Affordable Care Act started by next January.,http://www.scpr.org/programs/take-two/2013/01/10/30030/how-will-the-ca-health-insurance-exchange-work/
authority,Subsidiarity is the idea that a central authority should only perform those tasks which cannot be performed at a more immediate or local level.,
authority,"I signed the original high speed rail Authority in 1982—over 30 years ago. In 2013, we will finally break ground and start construction.",http://www.scpr.org/news/2012/01/24/30920/governor-hopes-convince-lawmakers-fund-high-speed-/
authority,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.scpr.org/programs/airtalk/2013/01/10/30037/governor-brown-releases-the-state-budget/
budget,We have wrought in just two years a solid and enduring budget.,
budget,You cast difficult votes to cut billions from the state budget.,
budget,The budget is balanced but great risks and uncertainties lie ahead.,
budget,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
budget,"California is back, its budget is balanced, and we are on the move.",
budget,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.scpr.org/programs/airtalk/2013/01/10/30037/governor-brown-releases-the-state-budget/
carbon,"According to the latest report from the World Bank, carbon dioxide emissions are the highest in 15 million years.",
carbon,"When we think about California’s future, no long term liability presents as great a danger to our wellbeing as the buildup of carbon dioxide and other greenhouse gases in the atmosphere.",http://www.scpr.org/blogs/environment/2011/05/23/2996/ab-32-cap-and-trade-pause-brown-weigh/
carbon,We are reducing emissions as required by AB 32 and we will meet our goal of getting carbon emissions to 1990 levels by 2020.,http://www.scpr.org/blogs/environment/2012/11/19/11162/californias-carbon-market-opens-air-resources-boar/
change,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
change,"The key here is thoughtful change, working with the faculty and the college presidents.",
change,"Climate Change: When we think about California’s future, no long term liability presents as great a danger to our wellbeing as the buildup of carbon dioxide and other greenhouse gases in the atmosphere.",
change,"This year, we should change both the Enterprise Zone Program and the Jobs Hiring Credit.",http://www.scpr.org/blogs/business-update-mark-lacter/2010/06/29/1451/what-heck-are-enterprise-zones/
child,"Distant authorities crack the whip, demanding quantitative measures and a stark, single number to encapsulate the precise achievement level of every child.",
child,"This formula recognizes the fact that a child in a family making $20,000 a year or speaking a language different from English or living in a foster home requires more help.",http://www.scpr.org/news/2012/01/07/30705/how-does-jerry-browns-proposed-california-budget-a/
child,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",http://www.scpr.org/blogs/education/2013/01/04/11847/federal-officials-reject-californias-no-child-left/
children,Add to this the fact that three million California school age children speak a language at home other than English and more than two million children live in poverty.,https://projects.scpr.org/bilinguallearning/
children,"Nothing is more determinative of our future than how we teach our children. If we fail at this, we will sow growing social chaos and inequality that no law can rectify.",
children,Add to this the fact that three million California school age children speak a language at home other than English and more than two million children live in poverty.,http://www.scpr.org/news/2012/01/07/30705/how-does-jerry-browns-proposed-california-budget-a/
children,We seem to think that education is a thing—like a vaccine—that can be designed from afar and simply injected into our children.,
children,Equal treatment for children in unequal situations is not justice.,
children,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",http://www.scpr.org/programs/take-two/2013/01/08/29996/no-child-left-behind-turns-11/
china,Our ties with The People’s Republic of China in particular are deep—from the Chinese immigrants crossing the Pacific in 1848 to hosting China’s next President in Los Angeles last February.,
china,Electrified trains are part of the future. China already has 5000 miles of high speed rail and intends to double that. Spain has 1600 miles and is building more.,
china,"In April, I will lead a trade and investment mission to China with help from the Bay Area Council and officially open California’s new trade and investment office in Shanghai.",http://www.scpr.org/blogs/economy/2012/03/26/5236/future-business-worlds-big-cities/
china,Our ties with The People’s Republic of China in particular are deep—from the Chinese immigrants crossing the Pacific in 1848 to hosting China’s next President in Los Angeles last February.,http://www.scpr.org/programs/take-two/2013/01/11/30047/its-not-just-chinatown-baby-chinese-visitors-top-l/
classroom,"In addition to the teacher in the classroom, we have a principal in every school, a superintendent and governing board for each school district.",
classroom,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",
classroom,"I would prefer to trust our teachers who are in the classroom each day, doing the real work – lighting fires in young minds.",
colleges,"Then during the Civil War under President Lincoln came the Transcontinental Railroad and Land Grant Colleges, followed by the founding of the University of California.",
colleges,"The University of California, the Cal State system and the community colleges are all working on this.",
colleges,A half million fewer students this year enrolled in the community colleges than in 2008.,http://www.scpr.org/programs/brand-martinez/2012/08/29/28151/new-survey-shows-big-problems-for-states-community/
colleges,But tuition increases are not the answer. I will not let the students become the default financiers of our colleges and universities.,http://www.scpr.org/programs/patt-morrison/2011/07/11/19830/tentative-national-budget
community,"I salute the teachers and the students, the parents and the college presidents, the whole school community.",
community,A half million fewer students this year enrolled in the community colleges than in 2008.,
community,"The University of California, the Cal State system and the community colleges are all working on this.",
cost,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
cost,The ultimate costs of expanding our health care system under the Affordable Care Act are unknown.,
cost,"With respect to higher education, cost pressures are relentless and many students cannot get the classes they need.",
cost,"Given the costs involved, great prudence should guide every step of the way.",
cost,"If because of an earthquake, a hundred year storm or sea level rise, the Delta fails, the disaster would be comparable to Hurricane Katrina or Superstorm Sandy: losses of at least $100 billion and 40,000 jobs. I am going to do whatever I can to make sure that does not happen. My proposed plan is two tunnels 30 miles long and 40 feet wide, designed to improve the ecology of the Delta, with almost 100 square miles of habitat restoration. Yes, that is big but so is the problem. The London Olympics lasted a short while and cost $14 billion, about the same cost as this project. But this project will serve California for hundreds of years.",http://www.scpr.org/programs/airtalk/2012/07/25/27570/sacramento-river-pipeline-jerry-brown/
cows,"Recall the story of Genesis and Pharaoh’s dream of seven cows, fatfleshed and well favored, which came out of the river, followed by seven other cows leanfleshed and ill favored. Then the lean cows ate up the fat cows. The Pharaoh could not interpret his dream until Joseph explained to him that the seven fat cows were seven years of great plenty and the seven lean cows were seven years of famine that would immediately follow. The Pharaoh took the advice of Joseph and stored up great quantities of grain during the years of plenty. When famine came, Egypt was ready.",
decade,That is how we plunged into a decade of deficits.,
decade,"What we have done together and what we must do in the coming years is big, but it pales in comparison to the indomitable courage of those who discovered and each decade thereafter built a more abundant California.",
decade,It requires acting now even though the worst consequences are perhaps decades in the future.,
decade,"Over the last three decades, these pioneering efforts have saved Californians $65 billion dollars.",
decade,"Over the rest of this decade, California will steadily reduce the number of the uninsured.",http://www.scpr.org/blogs/news/2012/09/27/10192/uninsured-flock-la-stadium-free-health-care/
delta,"Silicon Valley, the Livermore Valley, farmers on the East side of the San Joaquin Valley between Fresno and Kern County and farmers on the West side between Tracy and Los Banos, urban Southern California and Northern Contra Costa, all are critically dependent on the Delta for Water.",http://www.scpr.org/blogs/environment/2013/01/08/11894/sacramento-san-joaquin-delta-fish-dwindling/
delta,Central to the life of our state is water and one sixth of that water flows through the San Joaquin Delta.,http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
delta,"If because of an earthquake, a hundred year storm or sea level rise, the Delta fails, the disaster would be comparable to Hurricane Katrina or Superstorm Sandy: losses of at least $100 billion and 40,000 jobs.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
delta,"My proposed plan is two tunnels 30 miles long and 40 feet wide, designed to improve the ecology of the Delta, with almost 100 square miles of habitat restoration.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
destiny,"In the midst of the Great Depression, Franklin Roosevelt said: “There is a mysterious cycle in human events. To some generations much is given. Of other generations much is expected. This generation has a rendezvous with destiny.”",
destiny,We --right here in California-- have such a rendezvous with destiny.,
destiny,This special destiny never ends.,
economy,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
economy,California’s exports are booming and our place in the world economy has never been stronger.,http://www.scpr.org/news/2012/02/16/31269/wine-exports-china-skyrocket/
education,Lay the Ten Commandments next to the California Education code and you will see how far we have diverged in approach and in content from that which forms the basis of our legal system.,
education,"In the right order of things, education—the early fashioning of character and the formation of conscience—comes before legislation.",
education,"Then we have the State Superintendent and the State Board of Education, which makes rules and approves endless waivers—often of laws which you just passed.",
education,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",
education,We seem to think that education is a thing—like a vaccine—that can be designed from afar and simply injected into our children.,
education,"But as the Irish poet, William Butler Yeats said, “Education is not the filling of a pail but the lighting of a fire.”",
education,"This year, as you consider new education laws, I ask you to consider the principle of Subsidiarity.",
education,"With respect to higher education, cost pressures are relentless and many students cannot get the classes they need.",
emissions,"According to the latest report from the World Bank, carbon dioxide emissions are the highest in 15 million years.",
emissions,"At today’s emissions rate, the planet could warm by more than 7 degrees Fahrenheit by the end of the century, an event unknown in human experience.",
emissions,We are reducing emissions as required by AB 32 and we will meet our goal of getting carbon emissions to 1990 levels by 2020.,
feeling,"As the great jurist, Oliver Wendell Holmes, once said when describing what stirs people to action: “Feeling begets feeling and great feeling begets great feeling.” You were alarmed, you stirred yourselves to action and victory was the outcome.",
funding,"It is cruel to lead people on by expanding good programs, only to cut them back when the funding disappears.",
funding,"And we have a funding system that is overly complex, bureaucratically driven and deeply inequitable.",
funding,I have directed our Transportation Agency to review thoroughly our current priorities and explore long-term funding options.,
funding,I am asking you to approve a brand new Local Control Funding Formula which would distribute supplemental funds — over an extended period of time — to school districts based on the real world problems they face.,http://www.scpr.org/news/2013/01/10/35573/governor-boost-funds-public-schools-universities-s/
future,All around us we see doubt and skepticism about our future and that of America’s.,
future,But what we need to do for our future will require more than producing hundreds of new laws each year.,
future, Nothing is more determinative of our future than how we teach our children.,
future,"When we think about California’s future, no long term liability presents as great a danger to our wellbeing as the buildup of carbon dioxide and other greenhouse gases in the atmosphere.",
future, It requires acting now even though the worst consequences are perhaps decades in the future.,
future,Electrified trains are part of the future.,
government,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
government,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
government,Constantly expanding the coercive power of government by adding each year so many minute prescriptions to our already detailed and turgid legal system overshadows other aspects of public service.,
government,"In other words, higher or more remote levels of government, like the state, should render assistance to local school districts, but always respect their primary jurisdiction and the dignity and freedom of teachers and students.",
highway,"In the years following World War II, California embarked on a vast program to build highway, bridges and roads.",
highway,"He retraced his steps northward, along what was to become El Camino Real, the Kings Highway.",
highway,"Today, California’s highways are asked to accommodate more vehicle traffic than any other state in the nation.",http://traffic-counts.dot.ca.gov/2011all/index.html
jobs,"The new facility in San Jose will place at least 2,500 people in high skill, high wage jobs.",
jobs,"This year, we should change both the Enterprise Zone Program and the Jobs Hiring Credit.",
jobs,California lost 1.3 million jobs in the great Recession but we are coming back at a faster pace than the national average.,http://www.scpr.org/blogs/economy/2012/10/02/10282/why-have-americans-stopped-working/
jobs,"We also leveled the field on internet sales taxes, paving the way for over 1,000 new jobs at new Amazon distribution centers in Patterson and San Bernardino and now Tracy.",http://www.scpr.org/news/2012/10/18/34670/amazon-open-business-san-bernardino/
jobs,"If because of an earthquake, a hundred year storm or sea level rise, the Delta fails, the disaster would be comparable to Hurricane Katrina or Superstorm Sandy: losses of at least $100 billion and 40,000 jobs.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
laws,"As Legislators, It is your duty and privilege to pass laws.",
laws,But what we need to do for our future will require more than producing hundreds of new laws each year.,
laws,"Montaigne, the great French writer of the 16th Century, in his Essay on Experience, wisely wrote: “There is little relation between our actions, which are in perpetual mutation, and fixed and immutable laws. The most desirable laws are those that are the rarest, simplest, and most general; and I even think that it would be better to have none at all than to have them in such numbers as we have.”",
laws,"In California’s public schools, there are six million students, 300,000 teachers—all subject to tens of thousands of laws and regulations.",
laws,"Then we have the State Superintendent and the State Board of Education, which makes rules and approves endless waivers—often of laws which you just passed.",
laws,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",
laws,The laws that are in fashion demand tightly constrained curricula and reams of accountability data.,
laws,"This year, as you consider new education laws, I ask you to consider the principle of Subsidiarity.",
laws,California was the first in the nation to pass laws to implement President Obama’s historic Affordable Care Act.,
level,"Distant authorities crack the whip, demanding quantitative measures and a stark, single number to encapsulate the precise achievement level of every child.",
level,Subsidiarity is the idea that a central authority should only perform those tasks which cannot be performed at a more immediate or local level.,
level,"In other words, higher or more remote levels of government, like the state, should render assistance to local school districts, but always respect their primary jurisdiction and the dignity and freedom of teachers and students.",
level,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.ebudget.ca.gov/BudgetSummary/BSS/BSS.html
level,"We also leveled the field on internet sales taxes, paving the way for over 1,000 new jobs at new Amazon distribution centers in Patterson and San Bernardino and now Tracy.",http://www.scpr.org/news/2012/10/18/34670/amazon-open-business-san-bernardino/
level,We are reducing emissions as required by AB 32 and we will meet our goal of getting carbon emissions to 1990 levels by 2020.,http://www.arb.ca.gov/cc/ab32/ab32.htm
level,"If because of an earthquake, a hundred year storm or sea level rise, the Delta fails, the disaster would be comparable to Hurricane Katrina or Superstorm Sandy: losses of at least $100 billion and 40,000 jobs.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
miles,Electrified trains are part of the future. China already has 5000 miles of high speed rail and intends to double that. Spain has 1600 miles and is building more.,
miles,"Then we will take it through the Tehachapi Mountains to Palmdale, constructing 30 miles of tunnels and bridges. The first rail line through those mountains was built in 1874 and its top speed over the crest is still 24 miles an hour. Then we will build another 33 miles of tunnels and bridges before we get the train to its destination at Union Station in the heart of Los Angeles.",
miles,"My proposed plan is two tunnels 30 miles long and 40 feet wide, designed to improve the ecology of the Delta, with almost 100 square miles of habitat restoration. Yes, that is big but so is the problem.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
million,Add to this the fact that three million California school age children speak a language at home other than English and more than two million children live in poverty.,https://projects.scpr.org/bilinguallearning/
million,"In California’s public schools, there are six million students, 300,000 teachers—all subject to tens of thousands of laws and regulations.",
million,"Then there is the Congress which passes laws like “No Child Left Behind,” and finally the Federal Department of Education, whose rules, audits and fines reach into every classroom in America, where sixty million children study, not six million.",
million,California lost 1.3 million jobs in the great Recession but we are coming back at a faster pace than the national average.,
million,"According to the latest report from the World Bank, carbon dioxide emissions are the highest in 15 million years.",
million,A half million fewer students this year enrolled in the community colleges than in 2008.,http://www.scpr.org/blogs/education/2012/09/11/9919/community-college-board-prioritizes-registering-ne/
million,"Our health benefit exchange, called Covered California, will begin next year providing insurance to nearly one million Californians.",http://www.scpr.org/programs/take-two/2013/01/10/30030/how-will-the-ca-health-insurance-exchange-work/
nation,"Today, California’s highways are asked to accommodate more vehicle traffic than any other state in the nation.",
nation,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
nation,California was the first in the nation to pass laws to implement President Obama’s historic Affordable Care Act.,http://www.scpr.org/news/2012/06/28/32918/californias-jump-healthcare-reform-means-what/
program,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,
program,"This year, we should change both the Enterprise Zone Program and the Jobs Hiring Credit.",http://caez.org/
program,"In the years following World War II, California embarked on a vast program to build highway, bridges and roads.",
program,"It is cruel to lead people on by expanding good programs, only to cut them back when the funding disappears.",
rail,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
rail,"Last year, you authorized another big project: High Speed Rail.",
rail,China already has 5000 miles of high speed rail and intends to double that.,
rail,More than a dozen other countries have their own successful high speed rail systems.,
rail,The first rail line through those mountains was built in 1874 and its top speed over the crest is still 24 miles an hour.,
rail,"I signed the original high speed rail Authority in 1982—over 30 years ago. In 2013, we will finally break ground and start construction.",http://www.cahighspeedrail.ca.gov/
renewable,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
renewable,"We are also meeting our renewable energy goals: more than 20% renewable energy this year. By 2020, we will get at least a third of our electricity from the sun and the wind and other renewable sources—and probably more.",http://www.scpr.org/programs/airtalk/2012/12/05/29546/are-californias-alternative-energy-programs-headed/
school,"I salute the teachers and the students, the parents and the college presidents, the whole school community.",
school,"In California’s public schools, there are six million students, 300,000 teachers—all subject to tens of thousands of laws and regulations.",
school,"In addition to the teacher in the classroom, we have a principal in every school, a superintendent and governing board for each school district.",
school,"In other words, higher or more remote levels of government, like the state, should render assistance to local school districts, but always respect their primary jurisdiction and the dignity and freedom of teachers and students.",
school,I am asking you to approve a brand new Local Control Funding Formula which would distribute supplemental funds — over an extended period of time — to school districts based on the real world problems they face.,http://www.scpr.org/blogs/education/2013/01/02/11805/california-governor-propose-higher-funding-schools/
school,Add to this the fact that three million California school age children speak a language at home other than English and more than two million children live in poverty.,http://www.scpr.org/blogs/multiamerican/2012/03/19/7925/this-is-your-brain-on-a-second-language-bilinguali/
school,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.scpr.org/programs/airtalk/2013/01/10/30037/governor-brown-releases-the-state-budget/
seven,"Recall the story of Genesis and Pharaoh’s dream of seven cows, fatfleshed and well favored, which came out of the river, followed by seven other cows leanfleshed and ill favored. Then the lean cows ate up the fat cows. The Pharaoh could not interpret his dream until Joseph explained to him that the seven fat cows were seven years of great plenty and the seven lean cows were seven years of famine that would immediately follow. The Pharaoh took the advice of Joseph and stored up great quantities of grain during the years of plenty. When famine came, Egypt was ready. The people have given us seven years of extra taxes. Let us follow the wisdom of Joseph, pay down our debts and store up reserves against the leaner times that will surely come.",
speed,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
speed,Electrified trains are part of the future. China already has 5000 miles of high speed rail and intends to double that. Spain has 1600 miles and is building more. More than a dozen other countries have their own successful high speed rail systems. Even Morocco is building one.,
speed, The first rail line through those mountains was built in 1874 and its top speed over the crest is still 24 miles an hour.,
speed,"It has taken great perseverance to get us this far. I signed the original high speed rail Authority in 1982—over 30 years ago. In 2013, we will finally break ground and start construction.",http://www.scpr.org/news/2012/01/24/30920/governor-hopes-convince-lawmakers-fund-high-speed-/
speed,"Last year, you authorized another big project: High Speed Rail. Yes, it is bold but so is everything else about California.",http://www.scpr.org/news/2012/07/05/33117/high-speed-rail-bond-vote-nears-sacramento-democra/
students,"I salute the teachers and the students, the parents and the college presidents, the whole school community.",
students,"In California’s public schools, there are six million students, 300,000 teachers—all subject to tens of thousands of laws and regulations.",
students,"In other words, higher or more remote levels of government, like the state, should render assistance to local school districts, but always respect their primary jurisdiction and the dignity and freedom of teachers and students.",
students,"With respect to higher education, cost pressures are relentless and many students cannot get the classes they need.",
students,I will not let the students become the default financiers of our colleges and universities.,
students,A half million fewer students this year enrolled in the community colleges than in 2008.,http://www.scpr.org/blogs/education/2012/09/11/9919/community-college-board-prioritizes-registering-ne/
system,You did great things: Your 1/3 renewable energy mandate; the reform of workers compensation; the reorganization of state government; protecting our forests and strengthening our timber industry; reforming our welfare system; and launching the nation’s first high speed rail system.,
system,Constantly expanding the coercive power of government by adding each year so many minute prescriptions to our already detailed and turgid legal system overshadows other aspects of public service.,
system,Lay the Ten Commandments next to the California Education code and you will see how far we have diverged in approach and in content from that which forms the basis of our legal system.,
system,"And we have a funding system that is overly complex, bureaucratically driven and deeply inequitable.",
system,"Graduation in four years is the exception and transition from one segment to the other is difficult. The University of California, the Cal State system and the community colleges are all working on this.",
system,The ultimate costs of expanding our health care system under the Affordable Care Act are unknown.,http://www.scpr.org/news/2012/06/28/33018/live-q-what-do-you-want-to-know-affordable-care-ac/
taxes,"The people have given us seven years of extra taxes. Let us follow the wisdom of Joseph, pay down our debts and store up reserves against the leaner times that will surely come.",
taxes,"We also leveled the field on internet sales taxes, paving the way for over 1,000 new jobs at new Amazon distribution centers in Patterson and San Bernardino and now Tracy.",http://www.scpr.org/news/2012/10/18/34670/amazon-open-business-san-bernardino/
taxes,"Then, the citizens of California, using their inherent political power under the Constitution, finished the task. They embraced the new taxes of Proposition 30 by a healthy margin of 55% to 44%.",http://www.scpr.org/news/2012/11/07/34851/update-prop-30/
teachers,"I salute the teachers and the students, the parents and the college presidents, the whole school community. As the great jurist, Oliver Wendell Holmes, once said when describing what stirs people to action: “Feeling begets feeling and great feeling begets great feeling.” You were alarmed, you stirred yourselves to action and victory was the outcome.",
teachers,"In California’s public schools, there are six million students, 300,000 teachers—all subject to tens of thousands of laws and regulations.",
teachers,"In addition to the teacher in the classroom, we have a principal in every school, a superintendent and governing board for each school district.",
teachers,"In other words, higher or more remote levels of government, like the state, should render assistance to local school districts, but always respect their primary jurisdiction and the dignity and freedom of teachers and students.",
teachers,"I would prefer to trust our teachers who are in the classroom each day, doing the real work – lighting fires in young minds.",
tunnels,"Then we will take it through the Tehachapi Mountains to Palmdale, constructing 30 miles of tunnels and bridges.",http://www.scpr.org/news/2012/07/18/33342/calif-bullet-train-faces-funding-legal-challenges/
tunnels,Then we will build another 33 miles of tunnels and bridges before we get the train to its destination at Union Station in the heart of Los Angeles.,http://www.scpr.org/news/2012/07/18/33342/calif-bullet-train-faces-funding-legal-challenges/
tunnels,"My proposed plan is two tunnels 30 miles long and 40 feet wide, designed to improve the ecology of the Delta, with almost 100 square miles of habitat restoration. Yes, that is big but so is the problem.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
water,"And oil production, movies, an aircraft industry, the longest suspension bridge in the world, aerospace, the first freeways, grand water projects, Jet Propulsion Laboratory, Venture Capital, Silicon Valley, Hewlett Packard, Apple, Qualcomm, Google and countless others, existing and still just imagined.",
water,"California is extremely vulnerable because of our Mediterranean climate, long coastline and reliance on snowpack for so much of our water supply.",
water,Central to the life of our state is water and one sixth of that water flows through the San Joaquin Delta.,http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
water,"Silicon Valley, the Livermore Valley, farmers on the East side of the San Joaquin Valley between Fresno and Kern County and farmers on the West side between Tracy and Los Banos, urban Southern California and Northern Contra Costa, all are critically dependent on the Delta for Water.",http://www.scpr.org/programs/airtalk/2013/01/24/30222/water-tunnels-for-california/
